Pokemon;Numero;Type1;Type2;Name_Stream;Base_HP;Base_Atk;Base_Def;Base_SpA;Base_SpD;Base_Spe
Mordudor Coffre;0999;Ghost;Ghost;Gimmighoul;45;30;70;75;70;10
Mordudor Marche;0999_01;Ghost;Ghost;Gimmighoul;45;30;25;75;45;80
Gromago;1000;Steel;Ghost;Gholdengo;87;60;95;133;91;84
Chongjian;1001;Dark;Grass;Wo-Chien;85;85;100;95;135;70
Baojian;1002;Dark;Ice;Chien-Pao;80;120;80;90;65;135
Dinglu;1003;Dark;Ground;Ting-Lu;155;110;125;55;80;45
Yuyu;1004;Dark;Fire;Chi-Yu;55;80;80;135;120;100
Rugit-Lune;1005;Dragon;Dark;Roaring Moon;105;139;71;55;101;119
Garde-de-Fer;1006;Fairy;Fighting;Iron Valiant;74;130;90;120;60;116
Koraidon;1007;Fighting;Dragon;Koraidon;100;135;115;85;100;135
Miraidon;1008;Electric;Dragon;Miraidon;100;85;100;135;115;135
Serpente-Eau;1009;Water;Dragon;Walking Wake;99;83;91;125;83;109
Vert-de-Fer;1010;Grass;Psychic;Iron Leaves;90;130;88;70;108;104
Pomdramour;1011;Grass;Dragon;Dipplin;80;80;110;95;80;40
Poltchageist Imitation;1012;Grass;Ghost;Poltchageist;40;45;45;74;54;50
Théffroyable Médiocre;1013;Grass;Ghost;Sinistcha;71;60;106;121;80;70
Théffroyable Médiocre;1013_01;Grass;Ghost;Sinistcha;71;60;106;121;80;70
Félicanis;1014;Poison;Fighting;Okidogi;88;128;115;58;86;80
Fortusimia;1015;Poison;Psychic;Munkidori;88;75;66;130;90;106
Favianos;1016;Poison;Fairy;Fezandipiti;88;91;82;70;125;99
Ogerpon Masque Turquoise;1017;Grass;Grass;Ogerpon;80;120;84;60;96;110
Ogerpon Masque de la Pierre;1017-01;Grass;Grass;Ogerpon-Cornerstone;80;120;84;60;96;110
Ogerpon Masque du Fourneau;1017-02;Grass;Fire;Ogerpon-Hearthflame;80;120;84;60;96;110
Ogerpon Masque du Puits;1017-03;Grass;Water;Ogerpon-Wellspring;80;120;84;60;96;110
Pondralugon;1018;Steel;Dragon;Archaludon;90;105;130;125;65;85
Pomdorochi;1019;Grass;Dragon;Hydrapple;106;80;110;120;80;44
Feu-Perçant;1020;Fire;Dragon;Gouging Fire;105;115;121;65;93;91
Ire-Foudre;1021;Electric;Dragon;Raging Bolt;125;73;91;137;89;75
Roc-de-Fer;1022;Rock;Psychic;Iron Boulder;90;120;80;68;108;124
Chef-de-Fer;1023;Steel;Psychic;Iron Crown;90;72;100;122;108;98
Terapagos;1024;Normal;;Terapagos;90;65;85;65;85;60
Terapagos Forme Téracristal;1024_01;Normal;;Terapagos-Terastal;95;95;110;105;110;85
Terapagos Forme Stellaire;1024_02;Normal;;Terapagos-Stellar;160;105;110;130;110;85
Pêchaminus ;1025;Poison;Ghost;Pecharunt;88;88;160;88;88;88
